eixo_responsavel,nome_responsavel,nome_acao,tipo_acao,data_acao,local_acao,municipio,publico_alvo,impactos_diretos,Tipo da ação.
Educação,,Oficina de Arduino com alunos do ensino médio da escola Centro Educa Mais Julio de Mesquita Filho,Oficina,20/06/2024, Centro Educa Mais Julio de Mesquita Filho,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica com Arduino no Locomotiva Hub - para maiores,Oficina,01/08/2024,Locomotiva Hub,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica - FIRA RoboWorld Cup 2024,Oficina,05/08/2024,SebraeLab - FIRA,São Luís,Professores,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica - FIRA RoboWorld Cup 2024,Oficina,06/08/2024,SebraeLab - FIRA,São Luís,Professores,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica - FIRA RoboWorld Cup 2024,Oficina,07/08/2024,SebraeLab - FIRA,São Luís,Professores,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica - FIRA RoboWorld Cup 2024,Oficina,08/08/2024,SebraeLab - FIRA,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica - FIRA RoboWorld Cup 2024,Oficina,09/08/2024,SebraeLab - FIRA,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica,Oficina,28/08/2024,Estação Tech Sol e Mar,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica,Oficina,29/08/2024,Estação Tech Sol e Mar,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica,Oficina,29/08/2024,Estação Tech Sol e Mar,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina Básica de Canva,Oficina,30/08/2024,Estação Tech Sol e Mar,São Luís,Estudantes,20,Oficina de Canva
Educação,,Oficina Básica de Canva,Oficina,02/09/2024,Estação Tech Sol e Mar,São Luís,Estudantes,20,Oficina de Canva
Educação,,Oficina de Robótica com Arduino no Locomotiva Hub - para menores,Oficina,09/09/2024,Locomotiva Hub,São Luís,Estudantes,3,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica,Oficina,18/09/2024,Estação Tech Paço do Lumiar,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica Básica,Oficina,19/09/2024,Estação Tech Paço do Lumiar,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Impressão 3D,Oficina,20/09/2024,Locomotiva Hub,São Luís,Estudantes,7,Oficina de Impressão 3D
Educação,,Oficina de Robótica Básica,Oficina,25/09/2024,CE Emésio Dário de Araújo,São Luís,Estudantes,19,Oficina de Robótica (Básica e/ou Avançado
Educação,,Oficina de Robótica,Oficina,26/09/2024,Estação Tech Maracanã,São Luís,Estudantes,20,Oficina de Robótica (Básica e/ou Avançado
